Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
01.01.2018 13:00;1,96299;5,98615;7,50148;4,16072;3,02716;;6,96499;;6,10512;0,32292;10,4273;30,7689;7,77228;9,90682;6,87947;4,96536;10,6;11,1;4,5;14,0;;2,5;6,5;;10,2;9,7;0,3;9,4;;8,2;5,9;5,5;4,7;10,0;14,8;6,3;7,5;4,5;6,9;9,2;10,8;6,33722;0,36185;2,92164;7,4977;26,8137;2,69911;13,4435;37,6955;;28,441;31,5199;11,4024;14,7452;11,3445;2,98697;8,68437;11,7464;21,2789;40,6613;6,167565;4,8;3,72;13,7;9,2;12,13;15,83;3,7221;7,88;17,015888;31,44;12,0;6,52;9,35871;6,63184;8,92904;7,2;7,1;4,4;11,3;10,4511;3,77886;3,85958;1,81481;2,81274;6,91188;6,725;8,14518;14,3925;7,91812;4,38369;12,115;7,18362;5,9489;13,1268;7,22171;;6,23713;6,50239;8,13397;11,4;;8,2;6,0;1,2;4,48;;16,7204;12,4307;7,69686;16,9515;5,18736;11,1815;30,4205;6,54948;15,0682;10,7975;6,26351;17,5155;10,7895;9,59558;6,53904;11,1687;6,3155;6,7329;8,21363;6,70687;4,62264;3,02714;3,94399;4,8384;6,02999;3,46068;4,46682;6,92569;4,42967;15,3773;3,09319;3,24931;5,6183;3,46072
01.01.2018 14:00;1,78878;3,70609;5,94956;4,99988;2,7673;;8,0543;;4,83421;;10,5006;34,9923;7,32933;11,719;6,62735;6,72387;15,8;12,2;4,4;9,7;0,0;1,8;6,6;;8,5;10,4;0,0;9,1;;9,9;5,8;6,5;2,5;8,4;13,5;6,1;9,9;6,7;11,7;11,88;10,7;7,90631;0,28314;3,4963;3,56907;31,5432;4,26482;11,4055;56,4787;;30,1623;32,5916;19,3267;18,0174;21,8943;3,68379;13,593;15,3724;20,2764;49,4273;5,81738;8,2;3,86;14,2;10,5;10,53;13,43;4,01595;7,38;18,033717;29,04;13,4;6,82;9,7273;7,93493;9,68322;8,1;8,5;3,8;12,0;23,223;3,77779;5,46195;2,83666;2,71856;6,87311;5,9274;7,22037;15,3379;7,99064;4,07324;8,28862;5,49191;5,09602;14,2755;8,30274;;6,11891;5,97288;7,30979;16,8;;12,2;8,0;5,4;3,83;;5,73759;14,8982;8,5732;12,8125;6,87045;9,32312;35,2498;8,97275;12,3552;9,82131;6,66809;20,1944;13,5784;10,1963;8,60241;15,6035;6,87272;7,12273;8,46286;6,41901;4,7046;3,53717;8,20546;5,00171;6,89171;3,45943;5,1259;7,33252;5,5304;18,2777;4,20906;3,29357;7,38224;3,38212
01.01.2018 15:00;2,42505;5,09707;6,39646;6,56506;4,7206;;11,0753;;5,35428;0,31282;9,92062;48,269;10,0125;12,1417;6,34762;4,98873;15,9;12,0;5,3;22,7;1,3;1,4;7,4;;9,7;10,0;0,1;9,3;;10,8;7,3;6,9;2,2;12,1;23,4;8,5;14,5;5,4;13,0;15,15;19,7;10,5808;0,32626;3,45488;2,45161;26,8928;4,57712;10,4685;58,8661;;29,1251;32,5003;25,4731;23,6573;28,6041;3,97112;17,9653;25,7095;21,0679;41,5584;5,64521;5,4;3,63;15,8;10,8;11,33;18,63;3,82005;6,88;20,251545;30,24;13,7;8,42;10,0619;8,55337;10,5877;8,2;9,1;4,2;13,0;17,3445;3,86224;7,44618;4,12036;3,09625;8,1066;5,77184;8,75394;13,5276;10,5801;4,78516;8,87745;6,61637;5,94677;15,2777;7,81966;;6,13987;8,08572;6,84004;25,2;;15,1;14,0;8,7;1,65;;4,00245;16,5319;10,3901;16,0109;14,1074;11,6122;30,0614;15,6527;13,6894;10,9032;9,21641;11,8437;19,0849;10,4746;9,21265;7,75316;9,28111;8,72509;10,8957;6,93206;4,66127;3,37247;7,939;5,63809;7,22675;4,28855;7,617;7,02394;6,23232;16,7258;4,797;3,46852;8,38013;2,8834
01.01.2018 16:00;2,51481;6,67341;8,66241;12,5916;5,38436;;20,4287;;5,70675;1,11162;11,5442;62,7263;16,6599;12,1072;9,22487;3,02149;17,7;15,4;5,9;21,3;5,4;1,9;10,0;;16,8;16,8;0,1;11,1;;15,9;11,2;9,3;3,4;12,3;25,0;10,3;11,5;5,3;15,3;15,89;22,1;12,2841;0,45851;4,95208;3,42514;2,39531;6,14549;10,3327;56,4793;;28,7103;32,7531;46,5498;23,2329;11,3411;4,43053;27,2633;26,9836;23,8264;29,1681;5,866268;3,7;3,94;17,0;10,0;10,43;13,93;3,62415;7,58;21,069373;40,24;17,6;11,62;9,98701;9,26584;18,6604;11,7;9,9;4,9;13,9;12,0277;5,50603;8,99437;6,86196;4,38192;10,3227;5,95701;8,79656;11,8477;10,6414;4,61818;9,20828;7,17375;4,86699;18,6986;11,2292;;6,95164;8,61165;8,05851;23,2;;15,5;19,0;5,7;2,39;;5,00041;21,7235;11,9973;17,6504;25,154;20,034;32,5051;16,4076;15,3342;9,99498;8,66314;13,8678;21,3825;12,8959;12,9734;6,32341;10,7373;6,57197;9,20628;7,49698;4,55903;4,6859;9,82333;6,66082;8,5519;4,73337;9,10685;10,6854;8,41212;16,7698;5,03971;3,00587;10,9382;5,92189
01.01.2018 17:00;1,84083;6,00687;7,42049;17,1586;5,55765;;13,9613;;6,32863;0,81313;17,037;61,8792;15,9562;19,4843;13,0579;8,60506;22,7;22,4;;38,3;0,8;4,9;11,1;;20,0;33,8;0,5;14,4;;21,2;11,6;9,5;5,6;11,9;24,0;9,6;12,5;5,1;22,8;19,82;20,1;11,5187;1,1839;5,94526;8,47335;9,93709;5,2495;17,7116;66,5752;;36,7083;44,4264;47,9897;12,5379;11,5191;4,8825;28,1332;33,6454;26,3822;36,0343;5,907185;2,9;3,65;16,9;14,4;11,63;14,13;5,6811;12,08;18,387201;37,54;19,3;11,72;13,1317;8,93898;16,3752;14,1;9,2;4,3;17,0;13,8613;6,27136;13,5794;6,2549;4,51209;10,6631;9,76891;11,4309;12,2788;14,5602;6,54276;11,0332;8,79176;9,25679;15,1573;11,1209;;7,60991;;8,42305;13,8;;12,9;13,0;5,6;4,17;;13,3155;28,6938;17,2006;18,9676;29,6578;26,0664;48,4098;19,2697;17,7423;13,3495;7,21423;22,6221;22,056;16,5563;11,4221;7,96991;11,4219;6,85452;6,79749;8,39479;4,4391;5,57564;2,31896;7,19051;10,129;4,46715;13,6987;13,0505;11,5764;27,6103;5,49912;4,75692;11,5325;3,41133
01.01.2018 18:00;2,12869;5,29996;7,91688;14,2917;13,4177;;19,3085;;4,26781;0,44401;13,316;58,1864;11,395;13,3628;28,2445;19,3611;21,9;25,4;8,7;31,7;2,5;4,6;11,4;;16,2;;0,4;13,6;;26,3;12,6;11,6;5,6;15,7;25,1;12,0;11,3;5,7;18,8;25,49;18,4;36,592;4,13544;8,29011;13,3447;4,83046;6,73077;14,6109;64,7582;;39,7324;41,4904;43,4977;15,4596;14,6378;5,99784;27,1537;30,6683;30,2727;49,2425;6,613666;6,4;3,48;16,4;17,4;9,03;14,33;9,5991;19,38;21,80503;37,74;20,7;11,32;13,3139;9,1874;15,876;12,4;10,7;4,7;17,2;11,9442;7,51204;13,0945;6,15876;5,44979;14,2901;11,2241;11,6186;13,1754;15,5759;5,75762;5,3307;5,17687;5,26872;17,2509;11,723;;9,67152;8,43989;8,981;16,8;;11,2;20,0;6,5;4,94;;12,6766;37,6818;26,1753;22,8872;18,0259;26,1986;55,7385;14,4186;22,441;12,0105;7,69327;34,3066;29,2993;18,3626;9,19194;13,6073;10,885;7,07163;10,1936;8,0543;4,37093;7,36037;12,5627;8,78123;18,0698;7,3783;18,8874;20,1355;16,5809;21,0384;6,02811;19,9577;17,9174;2,8526
01.01.2018 19:00;1,49826;1,82224;6,61637;10,7385;28,8303;;23,2855;;6,29621;2,18977;16,107;52,3814;11,4752;15,5377;7,7266;14,8414;23,3;22,4;9,0;26,1;2,0;5,3;14,5;;18,9;35,8;0,6;18,4;;26,9;11,9;13,6;6,0;19,0;24,7;12,9;15,2;8,7;15,9;32,92;21,9;51,2155;4,50196;6,05945;10,9234;5,95216;15,2822;13,2547;68,2152;;45,6336;41,7135;41,0838;13,6591;14,3008;7,4483;25,9554;31,1602;19,9088;31,0105;7,570963;6,3;3,49;16,2;15,6;9,13;19,03;11,06835;21,58;24,022858;40,34;19,2;11,32;17,4162;8,88609;24,5915;10,5;13,4;5,0;14,0;17,2206;11,1709;11,2617;6,0706;5,52003;15,0182;8,10009;9,18733;9,62697;13,607;7,58718;3,94786;5,11124;5,54983;21,985;14,2798;;6,39221;10,3404;7,0781;12,2;;12,3;21,0;7,9;3,04;;6,17098;48,0061;38,7217;41,9164;17,856;21,8;61,3014;15,4727;24,8294;15,8234;7,26428;32,8795;32,7998;20,2045;10,4528;10,1915;7,18871;9,6549;13,6586;7,59117;4,32022;6,2805;18,3472;14,5113;19,9937;8,55639;13,6464;21,2274;17,2319;17,3753;9,19194;26,3427;31,0434;3,31944
01.01.2018 20:00;1,41329;2,25882;11,2515;13,248;41,3974;;31,8327;;4,7971;1,96033;13,2921;67,7887;14,5838;19,5704;15,0936;11,8284;26,6;25,5;7,2;32,5;1,9;5,6;13,2;;17,3;18,5;0,4;22,6;;18,7;12,0;9,9;6,4;21,7;32,1;19,8;16,5;9,8;19,3;39,52;24,5;61,4458;2,71945;6,37758;14,6024;10,1941;16,2812;12,9668;66,5566;;53,4069;56,5644;47,7039;16,9393;18,1189;6,49283;29,6777;37,374;20,7829;56,8549;7,085008;6,5;3,42;17,6;17,9;13,93;23,83;7,93395;12,28;21,040686;47,64;20,8;13,62;27,3538;19,7884;31,684;19,0;11,5;4,9;16,4;14,8677;5,8725;11,1363;5,89533;5,9061;17,011;16,5342;12,0313;11,9231;19,4932;17,3521;14,3333;13,0834;7,97083;18,5378;25,9182;;8,50801;9,23177;9,9917;22,6;;14,7;20,0;9,6;2,47;;4,98448;44,6183;36,0146;41,0629;18,9803;23,6578;51,9411;13,0653;26,3638;26,5046;10,7024;41,0623;38,3032;20,4393;15,2875;13,2489;8,57961;12,872;12,1175;8,2763;3,80637;5,9041;12,4782;19,6655;21,3357;11,7673;25,555;18,488;13,0772;17,149;8,58807;13,7611;23,1262;3,17551
01.01.2018 21:00;3,28492;2,95298;12,0432;20,8902;23,6091;;32,9161;;8,05738;7,72873;8,00119;76,8948;18,6781;20,8801;19,6607;8,79679;23,4;25,6;8,4;29,6;2,3;7,5;15,6;;18,6;34,7;1,3;23,3;;22,1;10,4;10,1;5,5;25,7;33,5;14,7;18,0;7,8;17,2;36,62;25,8;53,9317;2,7015;7,29906;11,1682;12,403;11,7445;15,0457;63,9382;;51,6219;60,467;44,216;29,4974;15,7827;5,90967;34,7416;45,1711;21,492;76,2277;7,201117;5,1;3,2;17,4;17,1;19,23;27,93;7,93395;17,18;19,858514;43,14;23,0;13,82;20,5933;28,2891;23,4178;8,1;12,4;4,2;14,2;15,0347;5,67652;11,9431;5,81992;9,00897;17,1708;16,5798;9,25201;8,65424;10,3299;13,7111;18,6317;12,1103;7,26674;14,8105;7,99107;;7,43222;8,76971;10,9541;42,5;;16,8;29,0;9,0;3,77;;5,43805;39,4695;31,1385;43,6207;36,0311;36,2037;60,2147;17,3581;25,0021;36,8793;6,21158;41,0416;44,9617;20,8838;17,4507;15,4732;4,56711;8,41599;11,9052;8,59656;3,58504;;;;;;;;;13,9188;8,34588;13,734;24,9346;3,10063
01.01.2018 22:00;2,69008;4,55162;14,9754;16,6355;12,8285;;35,6508;;11,3556;3,85746;7,60232;67,9068;19,6426;20,4903;11,1735;8,49087;23,8;27,2;7,6;28,7;3,0;8,6;18,2;;21,3;29,2;1,1;15,5;;26,0;9,7;9,8;4,9;21,4;27,4;32,7;23,9;10,5;16,2;30,99;18,7;49,9016;2,80421;6,34837;4,79275;5,63084;10,5999;13,3854;61,2773;;40,9805;57,5703;40,7024;27,6666;9,71678;6,01271;27,3526;38,1614;22,511;73,2519;7,633933;4,5;3,47;17,8;18,5;21,73;22,63;10,9704;23,38;20,364783;45,34;27,0;18,42;20,7075;19,293;21,8074;7,9;7,4;3,8;13,7;17,1678;4,75822;12,137;6,2926;9,88992;19,1009;15,0748;8,22633;8,67413;9,40633;16,11;15,6608;9,22646;5,8288;14,9703;6,44534;;6,65094;7,69261;9,45766;58,7;;20,5;28,0;5,7;4,09;;3,71512;39,7993;32,6814;46,6565;33,4712;30,2988;55,6275;26,3106;29,0491;25,6489;5,52658;31,6633;41,867;17,5739;22,2801;13,103;4,10624;7,04731;11,0875;7,70324;3,57636;10,2921;16,4452;15,2831;28,8769;11,2683;23,418;22,1378;19,7412;10,9643;7,52425;13,3846;18,881;3,09054
01.01.2018 23:00;1,70646;5,49912;13,7314;10,3859;5,45622;;17,8613;;12,7737;3,58712;16,4713;72,1429;19,7775;40,3644;9,76342;8,9386;20,9;20,3;6,7;30,7;3,8;9,5;16,1;;19,8;26,0;1,9;14,2;;25,3;9,2;11,6;5,2;18,8;31,6;33,8;22,4;27,5;22,3;27,3;16,3;37,0901;1,9351;5,21764;6,12743;5,3127;8,68101;19,4841;45,5469;;35,5568;49,1272;29,6552;30,2107;15,0814;5,60163;25,6223;46,4707;17,997;60,6401;8,017064;4,2;3,7;18,1;16,7;19,93;28,63;10,1868;17,78;24,27;49,24;22,8;14,12;18,1629;18,7792;23,6483;6,9;7,9;3,4;16,2;16,1631;4,60473;12,5401;9,45484;8,5913;14,8398;14,9503;7,48966;7,6725;10,9196;13,8237;10,6109;7,52484;5,866;13,1943;7,26297;;4,82065;7,69834;8,38585;44,6;;21,4;25,0;8,5;4,29;;2,73628;38,5167;30,0832;42,9908;35,7852;30,6281;51,7477;19,0277;29,2934;21,6417;5,57392;35,175;36,4587;17,8984;21,7692;10,9446;4,40836;7,56196;16,8495;8,715;5,92055;10,8298;14,6652;13,9503;26,5476;7,84853;14,6275;18,1863;15,987;11,9261;6,56666;11,1346;23,7024;2,73628
02.01.2018 00:00;2,20464;4,37317;11,1495;4,06034;4,06495;;27,1005;;13,4043;2,84676;5,28615;53,2295;11,4874;31,0679;8,03359;9,2493;20,5;17,7;6,0;16,2;5,9;8,7;15,1;;16,7;22,4;2,9;12,2;;18,0;7,8;10,1;5,5;16,1;24,0;28,4;21,1;22,9;22,6;26,39;14,6;25,0939;1,48185;3,98493;8,47139;5,58941;7,63313;20,4223;40,5215;;28,9758;42,0688;26,3502;20,1137;14,5657;5,09601;19,9432;40,0351;16,4902;64,4477;7,80504;5,1;4,14;15,6;16,9;22,13;19,73;9,50115;13,68;23,575217;48,04;18,9;15,82;20,2178;14,6149;23,251;9,6;11,0;3,3;15,2;16,6294;3,86378;12,0514;11,054;9,34452;11,8188;7,3672;12,9926;7,14411;16,064;18,5201;7,21939;11,7886;6,59932;11,133;5,29138;;5,38783;5,5517;9,31259;37,1;;19,8;25,0;8,1;3,74;;2,6922;32,2958;28,1064;41,3013;32,6803;37,1103;49,1782;16,7477;35,68;22,5234;5,0962;35,5908;34,6391;19,5773;18,4131;12,4811;5,52353;8,84353;13,6549;9,06022;3,64581;8,18329;16,8112;12,1976;28,6327;7,45011;16,2168;20,8982;9,65706;9,85583;4,66847;7,18194;20,1615;2,97582
02.01.2018 01:00;2,22323;2,14516;7,6348;3,5218;6,24899;;27,0814;;9,57616;1,37983;3,87924;35,0762;9,1707;16,3423;7,66659;8,06811;16,1;14,5;6,9;12,1;2,7;6,9;8,4;;11,2;28,4;1,9;12,3;;19,8;7,9;9,7;7,8;16,1;19,4;25,0;17,9;23,4;27,6;26,47;13,0;16,3173;1,31179;4,74548;6,16248;7,76538;7,78131;16,2337;33,035;;26,6087;34,2317;21,2171;14,6544;11,9071;5,02851;16,7229;26,681;11,7954;56,7513;9,922625;5,8;5,63;15,2;16,0;20,03;14,93;8,8155;14,18;23,980435;35,64;22,5;13,62;17,2457;12,1498;19,3951;12,0;11,3;2,9;16,3;11,4879;3,74976;9,98223;15,3512;6,64076;8,29489;6,28516;12,3494;6,45987;9,75058;20,0106;9,17638;9,608;11,0513;11,2722;4,10543;;5,04224;5,73972;15,2976;33,5;;19,6;22,0;3,6;3,2;;1,9274;34,4966;28,6455;37,0487;30,1623;26,4913;41,1818;32,7187;34,3454;24,2065;4,46655;30,4061;33,1504;22,603;15,565;10,0449;5,33727;9,07403;12,4753;7,91249;3,63559;9,46968;12,4459;13,6326;20,1281;5,90493;14,7907;19,7372;7,1942;8,2609;5,86931;7,44459;17,8873;2,74478
02.01.2018 02:00;2,13241;1,83711;5,7562;5,14594;7,99611;;11,8294;;10,0541;1,1233;4,47196;31,1454;9,01933;13,7611;8,35278;3,80435;14,1;12,1;;20,0;5,5;5,4;7,1;;9,2;21,3;2,0;12,0;;14,9;7,7;8,9;8,5;12,7;15,2;26,2;14,4;23,7;24,1;21,58;11,1;14,8348;1,43612;5,0737;4,74866;5,27393;7,28684;26,1948;25,7455;;19,5953;32,6968;18,9755;22,3077;16,6769;4,2696;16,6784;29,8952;8,11753;52,8169;11,497129;5,1;5,86;11,2;13,6;19,53;17,23;8,2278;12,38;24,785652;31,34;33,0;13,02;15,6986;12,0151;17,8944;8,1;8,6;2,8;14,1;9,76657;3,51221;8,61781;12,7536;7,47801;6,71006;9,87254;6,04192;5,40995;7,61457;27,6371;20,9323;10,3071;11,5455;11,1743;3,37999;;6,26344;5,17833;11,2293;29,8;;19,4;20,0;13,2;1,11;;1,88385;36,9181;30,6881;35,0098;27,1966;35,1712;43,2951;21,0928;28,2949;25,1042;4,34472;28,1818;29,252;21,7617;11,344;7,76006;5,83925;6,39086;10,601;6,87258;3,29915;10,6721;9,85311;13,2372;16,2799;5,53334;13,7109;19,957;8,20091;8,58276;5,12522;7,14011;14,5562;2,82392
02.01.2018 03:00;2,64706;1,69265;5,56664;4,78797;4,7627;;9,49733;;12,3229;2,97847;3,08416;23,9154;8,45954;10,7545;5,60004;4,67325;13,2;14,2;10,0;30,0;6,1;4,4;7,3;;9,6;11,0;2,2;14,2;;13,0;7,5;10,2;7,0;16,0;20,4;21,5;12,4;28,0;22,4;21,04;12,2;10,968;1,45933;5,43752;5,31589;3,47665;4,22818;33,0357;28,0011;;18,779;27,5556;14,486;21,45;17,8206;3,44054;14,3491;27,4633;7,46382;50,66;12,07661;4,7;5,26;12,2;14,7;20,33;16,23;6,95445;11,98;26,19087;28,84;33,5;8,92;18,9708;15,5921;15,6171;8,6;6,3;2,5;18,3;12,9254;3,0592;7,78237;13,0701;7,09582;8,42767;6,44029;6,39426;5,92564;6,02627;15,9273;12,2328;10,371;9,61867;11,7451;2,95783;;7,07971;4,73005;7,97987;27,1;;20,2;19,0;3,4;0,5;;2,31671;37,0854;31,1412;33,3426;27,4685;34,9699;43,5272;22,8236;23,8756;22,9536;4,24076;34,254;22,833;23,6424;10,2956;7,03244;5,11085;5,1146;8,31401;6,91294;3,40386;8,96089;10,1023;11,6353;19,4926;6,65696;25,7517;16,1941;7,24841;8,86106;3,97324;9,89577;10,0842;3,44213
02.01.2018 04:00;2,9073;1,8249;5,59512;1,2736;3,48936;;8,63958;;13,5326;1,40107;2,04531;20,5017;8,36288;12,0509;3,5935;1,66981;18,3;14,5;10,0;34,6;9,1;6,1;11,3;;11,0;11,2;1,4;13,7;;10,1;7,5;14,4;7,5;19,0;25,6;23,0;15,5;23,7;21,5;22,39;13,8;10,4246;1,62074;5,34457;7,51788;4,23774;8,14459;33,5171;25,558;;16,9334;24,0923;16,0724;22,8925;6,84641;2,83773;14,9337;33,7618;8,38193;44,0525;11,291217;4,2;6,3;12,4;13,5;20,43;19,83;8,12985;13,78;23,596087;26,24;23,8;9,52;18,7302;13,6026;16,8127;9,7;7,7;2,8;20,0;11,2086;2,51322;7,01226;13,2555;7,00914;7,72129;8,9245;6,92358;6,92564;6,24956;6,4077;10,2262;10,5042;5,82243;11,686;3,77804;;8,05737;4,87613;8,96081;26,4;;21,3;19,0;4,6;7,59;;2,04758;33,9794;31,7638;34,5968;16,6746;19,4795;43,7028;16,3677;21,6361;33,0706;3,74664;38,5199;19,5726;21,2426;15,0025;8,59125;6,00739;5,92879;7,76697;6,66173;2,87312;10,7263;9,07963;11,3612;14,8156;7,81851;23,7193;14,6401;16,4026;9,91372;6,21772;11,5584;17,9654;3,67582
02.01.2018 05:00;2,77293;2,82923;5,33766;1,58377;3,09041;;7,52266;;12,4587;0,0;2,46807;18,0806;12,2761;13,725;4,21118;6,28729;24,4;25,1;9,0;35,9;10,3;9,6;19,8;;14,2;17,0;1,2;14,7;;13,8;8,7;13,2;8,0;21,6;26,6;31,7;17,1;23,3;20,8;23,22;18,1;11,7769;2,14346;6,04617;3,02627;6,2209;8,98959;35,5301;25,6647;;15,3778;25,3659;16,2767;25,4652;18,9159;2,7809;14,2261;38,0479;6,89305;45,0127;11,717125;3,4;6,6;13,7;20,2;19,83;22,43;9,9909;17,38;25,101304;25,34;23,3;11,72;31,1507;13,4245;18,2341;10,7;7,5;3,8;24,9;9,44009;2,48029;6,82265;13,8562;7,32582;8,50999;11,3914;7,67125;13,8991;14,7174;7,70983;12,2685;21,2161;5,3394;24,1086;10,147;;8,01766;7,54072;6,81878;27,8;;15,1;21,0;5,2;5,2;;2,88047;36,8199;32,5721;25,0922;21,4082;39,9781;52,7349;15,6628;16,6407;32,9875;3,73728;31,888;30,414;18,7598;16,1826;10,1926;7,38351;5,19798;8,44998;16,9706;2,69973;6,98175;14,0651;10,9061;15,8218;7,77912;22,9029;19,3563;21,1424;11,6929;13,8992;21,565;24,8804;4,11983
02.01.2018 06:00;2,14834;3,04486;10,3536;3,02362;4,4423;;10,5866;;15,787;0,0;3,04698;36,8702;11,4731;16,0427;5,39874;8,02509;32,4;37,2;11,5;44,5;13,0;10,8;31,2;;17,9;23,2;2,4;17,5;;21,7;9,4;8,8;9,4;29,7;29,9;32,4;21,3;24,2;21,4;26,95;27,2;21,2142;1,83016;5,38281;3,1548;6,90816;6,23259;32,3083;37,2812;;16,4193;26,632;16,8429;23,1368;17,8512;2,59607;15,873;35,4307;7,79681;50,2097;11,12852;4,4;6,71;17,6;23,0;19,53;25,23;18,2187;20,98;31,906522;30,54;24,6;15,12;30,2027;15,2512;24,9622;14,7;10,3;4,7;34,6;10,2957;2,2073;7,51416;17,2611;7,55627;15,3905;15,7575;;16,6253;27,5138;26,1927;11,3104;27,1773;8,11537;31,7515;27,0751;;7,86155;18,5862;8,41082;33,8;;14,7;21,0;13,4;5,26;;3,71353;47,5286;32,0913;29,9127;36,0763;42,3641;74,8785;25,3263;24,7992;38,2496;4,63329;30,5065;30,2149;13,1402;20,0861;15,9222;14,3525;6,05307;16,2621;36,3046;2,90751;7,74243;14,3549;8,65785;17,678;8,42157;30,0537;29,6025;23,8156;17,3615;12,2973;19,866;41,3306;4,10283
02.01.2018 07:00;2,41762;4,92871;12,5079;3,20419;7,61678;;9,51273;;20,0508;1,35221;7,19071;49,8681;16,3768;25,9267;5,97553;6,55179;30,4;43,5;10,0;52,8;18,1;19,8;40,8;;27,0;28,8;3,2;18,5;;28,2;10,4;23,2;12,2;33,0;37,0;39,0;25,8;25,9;26,7;27,35;34,2;30,6324;2,39117;4,69662;5,81832;8,59444;15,7756;34,2474;40,8726;;15,4378;35,9807;24,8996;25,6994;25,7365;3,40495;27,1804;46,1347;7,78454;57,3956;11,980163;6,1;8,92;18,2;23,3;22,93;28,03;22,43055;24,08;36,711739;37,54;30,7;20,82;36,3981;20,101;22,1452;22,3;9,8;4,8;39,6;12,9644;2,30874;14,9131;19,8683;12,4383;22,5892;21,8875;42,4396;28,4788;43,7724;37,985;14,0064;34,3885;15,7509;36,3279;35,0057;;17,4693;24,0201;15,6611;41,8;;17,1;28,0;17,9;0,94;;3,32051;61,9355;32,9958;42,4384;41,6232;47,7533;72,127;38,1579;23,7885;42,8888;4,54302;28,6157;37,2861;9,52707;24,6834;22,0969;32,1028;7,36492;35,9143;34,5477;3,36072;10,8552;18,7609;9,17095;22,2017;11,3436;34,099;40,7474;39,7061;23,798;28,783;30,2928;50,0434;6,16567
02.01.2018 08:00;2,84676;6,15027;11,6178;5,39396;6,64808;;40,476;;32,5355;2,69114;4,62545;67,9689;13,4748;39,0128;18,813;9,8229;26,5;45,9;12,1;68,7;19,4;23,4;35,9;;31,0;32,1;3,3;18,5;;31,5;14,1;24,1;16,6;32,2;40,5;42,5;32,3;24,1;27,3;31,07;39,0;36,7794;3,14657;5,51081;22,9467;15,2689;21,9131;37,5015;50,6795;;31,6303;43,1507;26,4836;32,3712;25,43;5,37325;28,7991;54,3434;8,19752;62,4921;12,350009;6,4;11,2;18,6;23,5;26,03;28,83;23,508;30,48;35,416957;43,74;31,9;26,42;31,6075;21,7081;27,8456;28,8;12,9;5,0;43,2;16,069;1,93643;19,7016;19,7626;18,9429;27,4441;27,6811;49,2946;27,8047;40,1579;42,6585;23,0609;42,1449;38,6915;30,8896;32,999;;25,387;34,7001;31,5666;51,9;;25,4;34,0;15,2;1,1;;4,09912;63,3621;36,6254;46,5094;49,1257;62,6292;77,9183;42,0771;31,4922;53,2736;6,07996;38,0504;42,5579;13,8153;26,1301;26,717;36,1637;;59,3166;38,8502;6,03954;15,1033;19,4805;11,0183;25,21;10,1374;41,4444;49,96;43,4194;30,985;36,3986;39,7009;49,9266;
02.01.2018 09:00;5,75565;12,1853;10,4825;26,9571;7,85814;;32,4865;;27,5922;4,04972;6,28729;65,2125;23,2961;52,0489;16,2244;11,4534;35,3;45,0;16,0;63,5;22,6;22,2;36,0;;31,4;29,7;5,5;22,4;;33,4;15,7;29,1;21,7;24,9;35,8;44,6;27,7;20,4;25,9;25,14;37,9;40,3846;3,69903;7,55346;9,9392;13,7802;20,5561;40,0942;57,0927;;32,3351;52,1248;27,4133;35,7555;25,1997;7,69739;28,9228;64,0554;9,77506;73,7278;19,705759;7,2;9,25;21,3;26,0;27,33;28,93;30,3645;30,88;28,222174;40,74;32,9;27,42;25,2182;24,0619;28,8122;19,5;14,9;4,6;36,1;19,709;2,87331;29,6636;17,8416;16,1649;35,3492;28,1188;48,5163;27,7293;37,908;42,682;46,9474;44,8814;51,7387;27,3162;33,0456;;17,3152;37,7795;49,2348;50,9;;20,7;34,0;10,9;2,83;;4,44965;51,1359;37,215;53,1079;44,1954;55,61;77,7934;42,117;33,263;51,3489;7,31251;35,9557;38,6298;13,512;24,6504;27,6347;29,6726;14,0091;54,651;33,0874;4,43945;18,7438;19,3886;12,1495;28,5;10,3241;45,7188;47,2689;44,6116;26,5959;49,157;44,422;56,6828;3,30457
