Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
01.01.2019 12:00;6,82637;5,0498;6,92828;4,79009;3,45435;5,40623;5,07399;6,69425;6,59946;4,37683;12,2979;6,63768;5,44947;5,2676;7,31353;6,95084;4;6,1;3,8;8,7;5,1;1,7;;4,9;3,4;3,9;4,9;5,5;2,1;8,4;3,5;9,9;;8,19;6,84;4,5;7,9;8,5;4,8;8,2;6,9;11,6;10,3;8,2;4,51444;1,61111;3,64236;4,07468;2,63006;4,95641;6,13274;5,44814;37,2697;13,6867;16,9531;28,5977;24,5249;6,99686;7,78473;1;10,8238;8,73065;8,44328;19,077;5,664;5,733;3,9;7,26;7,35;7,27;12,21721;2,5645;4,74;11,07;18,8;13,6;8,51;20,73519;4,96961;8,00345;5,3844;6,75042;7,4;4;7;5,25324;2,46834;12,0886;2,59023;4,91827;13,9119;4,82302;2,10767;3,21963;4,04251;3,86353;3,3258;2,78607;1,85536;2,44501;3,72057;3,92962;2,88343;;3,03795;14,4;12,6;11;8,61046;5,6712;11,2282;7,00854;9,02411;6,47902;11,8103;22,8558;7,91251;11,2904;8,66189;4,52891;11,8124;12,7456;11,0655;7,32774;1,19553;4,84996;4,65625;4,80018;0;3,12612;2,07985;5,82487;5,3084;0,29201;6,96201;2,8725;3,92777;3,68432;8,24327;;5,8863;6,50718;2,24288;;1,9536;2,85472;1,87801
01.01.2019 13:00;;;;5,18683;;;;;;;;;;;;;5,6;8,1;3,7;6,7;4,4;1,8;;5,2;4,1;3,9;5,5;8,4;1,6;9,7;3,1;10,1;;8,91;7,92;4,4;8,5;9,9;5,3;7,8;6,3;5,3;10;9,6;3,84259;2,15472;4,51513;4,35246;3,09266;4,94623;6,90498;4,9303;24,1353;14,8472;24,8061;19,3468;10,4549;6,8439;7,90865;1,15729;11,9574;9,84425;9,19245;11,2574;4,933;5,033;3,1;7,76;5,95;6,97;9,836992;2,5645;4,74;10,77;25,8;14,4;8,51;21,72258;5,2495;8,59681;6,32447;7,92471;8,4;4,4;5,9;4,72191;3,13466;12,613;2,60829;4,58909;15,8499;5,28756;2,09377;3,18731;4,39609;3,69641;3,50487;2,94283;1,75197;2,53269;3,26715;4,09063;2,69559;;3,14317;14,1;10,6;11;8,95955;4,00883;12,2979;7,73801;12,6017;6,96924;10,6706;28,2859;8,34756;10,1017;9,02954;5,56334;12,8823;13,554;10,1505;7,83442;1,04788;4,44398;5,39981;2,41496;0;3,00715;1,5568;6,24116;5,03135;0,64587;6,99312;2,68742;2,36612;4,78531;9,26495;;6,17417;6,93766;4,07681;;1,82051;3,28705;0,94219
01.01.2019 14:00;7,53434;5,65952;7,35716;5,57348;5,34988;6,54383;7,24754;7,32587;4,56619;5,16612;5,68767;14,3225;8,94816;6,38374;8,07873;7,33464;7,5;9,7;2,4;3,8;3,9;1,5;;4,7;4;3,9;6;6,5;1,4;9,6;11,4;10,3;;8,91;8,64;4,2;7,2;8,1;4,4;6,6;12,7;3,8;10,7;8,8;2,7793;2,305;3,21556;2,67149;3,28174;4,97105;7,63844;5,26066;32,6033;21,104;21,7267;18,7966;9,13229;7,56515;5,87186;1,50411;11,0078;8,64297;8,8561;10,2382;5,111;4,533;2,8;8,26;5,75;6,37;10,256775;2,5645;4,84;11,37;26,6;14,2;8,01;20,73519;5,94366;9,57212;7,12273;9,69278;7,7;4,3;6,8;5,15116;4,05232;;2,91314;4,63466;19,8306;6,59746;5,17648;4,16255;4,34835;5,06021;3,6315;3,22712;1,68644;2,80848;3,87959;5,1651;4,00333;;3,25263;11,8;9,1;10;8,80863;5,25216;13,5954;8,46697;12,2501;6,64154;13,3118;34,1414;8,90454;12,1221;7,38776;5,96647;12,0099;8,79254;6,64702;9,10749;1,0447;3,55278;5,96172;1,2752;0;2,63166;0,40208;6,4264;4,6032;1,03064;5,53097;2,21877;2,4836;5,0668;10,2255;;7,73961;7,40212;3,40867;;2,05756;3,48356;0,7733
01.01.2019 15:00;8,51796;5,44176;7,21536;5,75565;5,14169;6,47265;7,5439;7,66352;4,78445;4,60208;6,0621;13,4153;13,6511;7,20329;9,90947;6,55444;8,4;8,8;1,9;4,7;4,1;1,4;;4,6;4,1;3,7;5,4;15,5;1,5;10,3;5,2;10,4;;9;8,28;4,3;7;7,8;4,2;5,2;11;5,2;9,7;9,2;2,97635;2,70722;2,3353;2,7076;3,25252;4,83608;7,07865;5,51506;38,3574;21,4517;31,7259;24,5963;9,37526;8,83769;7,09126;2,09417;11,6956;8,91523;10,3915;9,58071;4,804;4,433;2,5;7,36;5,25;6,27;8,876557;2,5645;4,94;11,77;26,7;13,4;8,61;20,241495;8,64861;10,5264;5,8231;7,03085;7;4,2;7;6,47817;3,80426;15,5313;3,36034;4,55688;19,3064;7,53859;3,26136;4,82526;4,57434;5,38569;4,14703;3,3148;1,92633;2,90191;4,09875;4,45532;2,97385;;3,77392;12,1;8,7;10;12,1519;6,21241;14,8843;9,03579;12,7536;8,34269;12,3844;39,4841;10,0661;10,7874;9,00233;6,04362;11,5299;9,97002;6,59443;10,4215;2,26572;3,67521;5,7291;0,73506;0;2,37247;0,26801;6,00791;4,90758;1,92723;4,43785;1,15171;2,42619;6,27826;10,215;;10,6891;7,3562;3,34653;;2,12186;3,65989;0,71222
01.01.2019 16:00;8,93488;4,76885;6,49209;5,9596;4,8193;7,14132;7,88966;10,0833;5,01516;5,25694;7,04413;18,9915;12,812;7,83273;10,8448;5,13744;9,4;9,6;1,9;5,7;2,6;2;;4,9;4,3;3,5;5,3;13,7;1,3;11,8;4,2;11,5;;9,36;8,64;3,2;7,3;8,5;4,5;;6,4;4,9;9,5;8,7;3,61368;2,85167;2,34643;3,6567;3,35822;3,48007;6,03555;6,72971;34,988;22,8542;20,5524;22,6668;9,50866;10,0996;7,55053;2,80639;14,2024;10,8757;12,7247;13,8838;4,364;3,933;1,7;7,66;5,35;6,27;8,69634;3,2335;5,74;12,27;29,5;13,4;10,61;21,72258;9,12768;11,8129;6,49018;7,21408;6,9;3,7;5,4;6,49383;4,34493;16,2701;3,47612;4,9389;18,1698;7,91462;2,82399;4,6862;5,12409;7,20769;4,3313;3,23563;2,06575;2,19889;6,32956;5,01259;5,21292;;3,99339;12,1;9;10;11,2642;7,0351;16,422;8,66933;15,603;8,55514;13,1376;41,2166;11,337;11,8417;8,94646;6,39456;11,6706;15,6911;7,07982;10,3174;2,373;3,48601;5,56923;0,92573;0;3,37415;0,17252;5,72914;4,73303;2,07325;4,2337;1,08676;2,99695;4,8926;8,86049;;8,52646;6,66026;3,82241;;2,09423;4,00936;2,38416
01.01.2019 17:00;8,06598;3,63121;5,49189;6,62242;3,27908;8,16849;4,74654;7,79967;5,1005;2,31564;2,40222;16,0396;9,15104;6,98489;13,9895;3,64502;12,5;11;1,9;6,4;3,2;2,3;;5,6;6,2;1,8;5,6;8,6;1,3;11,5;3,8;11,6;;8,46;9,36;3,9;8,3;9,2;6,1;4;3,8;4,9;10;6;4,31156;1,59397;2,63166;4,5564;2,64918;3,57061;7,08608;6,95118;39,9247;19,7472;23,4257;23,388;8,5455;12,2373;9,97011;2,33742;13,8588;10,8066;14,0525;18,1125;3,51;3,333;1,6;6,96;5,95;5,77;11,616123;3,122;5,54;13,47;31,9;13,9;22,51;31,59648;8,02987;12,2453;7,9194;7,74714;6,3;3;6,7;4,90935;5,24995;19,8742;4,25208;5,11404;20,5806;7,92683;2,94911;4,82743;4,75691;7,91631;4,11964;2,98481;2,10464;2,37956;5,65802;5,16297;3,81655;;3,9716;13,3;9,4;10;14,0978;7,56355;21,7936;6,22144;20,6777;6,79663;18,25;46,553;10,0907;14,3028;10,7775;10,5339;11,4104;17,2606;6,55795;10,7433;3,21906;3,61277;4,84214;0,85721;0;4,80974;0,18969;6,14017;3,94595;2,16175;4,67014;0,89705;2,38679;5,17833;10,3034;;9,26417;6,14063;4,21332;;2,22077;5,19852;2,09683
01.01.2019 18:00;6,37015;2,13613;4,13208;5,22188;2,11435;6,81894;5,49381;9,78839;4,17165;2,22801;0,71381;22,3311;5,25694;5,2503;12,6362;4,09168;17,2;10,9;2,1;7,1;2,2;2,3;;6,4;7,8;2,8;4,9;10,1;1,2;11,5;3,6;13,7;;8,46;9,24;2,9;7,7;9,2;4,9;3,4;2,8;4,3;13,9;8,9;4,34874;1,66806;2,64745;4,7492;1,90085;2,93911;7,10998;6,95331;30,4507;16,2663;14,0235;19,0759;9,30503;10,0863;11,238;2,66034;12,7679;10,3245;15,3841;16,6264;2,137;3,533;1,6;8,86;6,95;6,17;10,535905;2,5645;4,74;12,67;35,6;13,9;13,51;30,115395;7,9417;16,4309;8,17061;7,23099;5,7;2;8;5,73676;4,79532;17,0752;4,24995;5,55872;22,8606;9,90416;2,81967;4,5118;4,48302;6,78585;4,09015;3,29195;2,1746;2,67501;5,31728;4,55262;3,64883;;3,87701;13,4;9,3;9;13,9203;7,5337;16,2777;4,92601;24,9013;7,00001;17,1343;51,5538;13,053;15,4359;10,3939;11,0018;12,7193;15,4093;5,54979;10,8372;2,76868;3,06052;4,21118;0,85509;0;4,40344;0,05;5,99742;3,7099;1,72476;4,30395;0,78929;2,5026;4,22499;9,59196;;13,0021;6,04876;3,33984;;2,32154;4,45762;0,57838
01.01.2019 19:00;4,8193;2,20624;3,36317;3,73159;1,97414;10,7104;5,63934;8,64404;3,7287;1,69;0,11472;18,3653;7,80096;5,28881;6,15133;4,02848;11,3;10,2;3,5;10,8;2,5;1,8;;6,9;5,4;2,8;4,5;11,4;1,3;9,1;3,9;16;;5,58;9,6;3,1;7;8,3;3,8;3,3;2,5;5;11,4;9,6;2,93298;1,80278;2,52108;3,60253;2,23704;2,95697;6,20444;6,53957;27,6003;16,1676;13,5022;18,5522;11,9178;8,79999;13,6114;4,88091;14,2003;11,3015;14,081;15,4208;2,621;3,233;1,8;8,56;5,85;5,27;9,755688;2,007;4,04;13,57;36,9;14,5;12,81;22,216275;8,84034;12,7004;5,57242;5,87373;5,1;2,5;6,5;7,92858;4,15586;16,5289;4,6844;5,83824;17,6435;8,5732;4,70343;5,10358;4,67459;6,6727;4,46253;3,71494;2,35314;3,0337;4,35584;3,48489;3,28191;;3,90465;10,6;8,8;6;13,5066;6,00479;15,1512;3,72979;14,4387;5,17071;16,3635;38,3133;10,2455;12,2285;9,78944;10,6701;10,7294;5,96114;3,95332;9,69024;3,13376;2,67302;5,7668;0,78764;0;4,44055;0,05;6,3911;3,63741;1,58911;5,01703;0,87002;2,86298;6,29154;13,0283;;12,3791;5,96632;3,04539;;2,61579;4,08502;1,1164
01.01.2019 20:00;3,59668;1,76966;2,93399;3,77779;1,54766;7,04147;4,30625;7,87932;2,99142;1,55084;;14,3039;11,0689;4,93013;4,88569;3,31466;10,3;10,4;2,9;6,2;2,1;2,1;;6,7;6;2,6;4,9;5,7;1,2;12,9;4,5;8,1;;4,59;9,24;2,9;6,4;6,5;3,4;3,3;1,6;4;12,7;6,8;2,86481;2,81889;2,94597;;3,04274;2,79464;7,00217;5,60588;19,2576;14,109;;16,5962;;;9,14184;;15,0734;;;14,1791;2,577;3,433;1,6;7,86;4,75;5,67;8,57547;1,8955;4,14;13,47;33,1;13,6;11,01;19,7478;4,16179;14,177;4,51285;5,01168;5,2;2,5;5,9;9,52858;4,36724;15,5918;5,6643;6,24562;17,1618;8,66189;5,43804;4,50244;4,38214;8,07907;4,30461;3,66499;2,17765;5,56949;4,28781;3,42693;2,42457;;3,97745;9,5;6,9;6;14,5704;7,298;20,5184;4,00511;8,73731;5,25428;11,088;17,8645;6,93817;10,9308;7,97888;10,5008;7,34367;3,39433;3,61299;8,58807;2,84645;2,51783;6,93153;0,84075;0;2,6955;0,05;6,3238;3,88018;1,71301;5,0561;0,91791;2,85583;4,87241;9,50272;;12,9894;6,27002;4,96642;;2,12264;4,50913;3,0029
01.01.2019 21:00;3,54942;1,20297;2,73102;2,78143;0,9406;3,68538;2,52862;6,73281;1,81552;1,63104;;14,2152;6,25649;3,87426;4,15966;1,33681;9,3;8,2;2,2;6;2,2;1,9;;6,7;5,3;2,3;4,3;4,7;1,1;9,6;4,9;8,7;;5,04;9,24;2,6;6,1;6,6;3,4;4,6;1,4;4,3;10,6;7,1;2,78408;2,96444;2,65327;2,57005;2,66405;2,65593;5,45239;4,76194;26,6092;14,5588;12,7371;20,1498;9,01446;9,065;8,1124;4,62916;22,3056;18,3462;9,80292;17,4651;3,021;2,833;1,8;5,16;5,55;4,87;7,795253;1,4495;3,54;13,27;28;12,2;8,31;17,77302;7,53009;12,3309;4,40132;3,45594;3,9;2,6;6,3;6,88716;4,31785;15,0156;5,34351;6,12172;14,7548;9,20256;4,41001;4,87509;4,38465;6,24067;4,54291;3,54277;2,41047;4,20222;3,71508;3,22606;2,02767;;4,43072;9,3;5,4;5;13,9253;6,12159;16,7374;5,03865;8,23647;6,26499;10,8936;26,8546;9,72473;9,5839;10,2961;8,74843;9,18985;5,20223;3,4851;9,77669;2,57771;2,4997;4,98021;1,03938;0;4,35352;0,05;5,73224;3,19201;1,27618;4,12053;0,90113;4,93474;3,96474;8,29228;;5,39556;5,92387;10,5447;;2,24389;4,54047;0,66283
01.01.2019 22:00;3,34016;1,19659;1,61078;2,2774;0,34363;1,75426;3,6243;7,85035;1,61703;1,33203;;9,66091;3,9504;2,78111;3,23287;1,61936;6,5;7,8;1,6;4,6;3,4;1,3;;5,6;5,2;2;4,2;5,8;1,6;7,8;5,5;5,2;;5,4;9,72;2,3;5,9;5,6;2,8;2,7;1,8;4,5;8,6;5,6;2,51269;2,17056;2,43376;2,45586;2,2227;2,32249;4,80496;6,91932;;14,5153;16,0417;20,4276;4,3081;8,9694;10,1508;2,45002;11,5357;9,50926;11,5182;13,341;2,857;3,333;1,9;5,06;4,15;4,77;9,915036;1,4495;2,94;11,87;30,8;12,9;7,91;16,291935;3,11019;27,1016;3,5133;3,02521;3,2;2,8;4,4;4,36132;5,16125;10,3768;4,32971;6,17089;11,4269;7,10042;7,00015;5,12722;3,92438;7,41223;5,1997;4,71448;2,36391;5,44992;5,8803;2,12413;1,38706;;4,51999;6,1;5,5;5;13,2171;7,16894;16,0443;3,24243;7,06165;5,96385;11,6988;32,0557;10,3456;11,0206;8,1329;11,1848;9,85902;2,97422;3,25746;10,4151;0,8365;2,1598;4,13453;0,93847;0;3,60731;0,05;5,42978;3,28873;1,02979;3,73332;0,53204;4,94703;2,262;6,69062;;4,8687;5,85906;2,5504;;2,23973;3,14524;1,0192
01.01.2019 23:00;2,28325;0,72497;1,67926;2,19349;0,37603;0,96237;2,84782;9,74425;1,7186;2,13719;;8,88761;7,50832;4,21988;2,52737;1,11958;4,2;6,8;1,7;4,8;2,4;1,3;;4,6;4,1;2;3,9;3,6;1,3;6,4;4,8;4,2;;4,68;8,76;2,7;4,9;3,6;3,4;3,4;1,3;4,7;7,2;4,8;1,97414;1,23611;2,23975;2,2466;1,63901;2,45522;4,29297;6,38502;22,7337;12,4769;10,1086;18,1805;5,6327;7,75794;9,21098;1;12,8322;10,5193;7,54421;8,0458;2,57;3,533;1,9;4,26;3,75;4,67;7,734818;0,446;2,74;11,37;23,9;11,9;7,21;15,79824;1,00274;14,8313;1,71283;2,18074;3,6;2;3,7;3,95843;4,98439;10,1793;2,91148;6,06552;19,4307;6,76158;13,0066;4,81137;4,05877;5,91171;4,6704;3,9089;2,62688;7,96499;8,51822;2,2162;1,3074;;5,07583;7;5,6;4;11,4429;4,92499;10,3248;1,87801;3,56376;2,87915;9,97374;27,087;3,65771;6,78601;10,4751;11,4119;5,64093;2,1595;3,3101;14,1371;0,4626;1,8789;3,71618;0,66176;0;2,34486;0,05;5,45333;3,20473;1,1;3,56346;0,2502;2,72512;1,73248;5,04027;;2,62156;5,6618;2,7416;;2,25508;2,01397;2,68424
02.01.2019 00:00;2,00707;0,64371;1,4651;1,70487;0;1,39523;2,69008;8,29175;1,70936;3,00343;;5,23463;6,02386;3,22287;1,95909;0,58263;5;8,1;2;3,7;2,1;1,8;;4;3,1;1,7;3,8;5,3;1,6;6,3;3,3;4,6;;3,87;7,2;2,5;4,5;3;2,9;2,1;1,3;4,6;8,1;3,7;1,69902;2,43583;1,64613;1,78188;1,55881;2,20674;2,94501;5,75459;12,0902;9,99286;7,69102;11,7662;6,84915;8,61993;6,28227;1;13,4169;9,83094;7,72633;6,8763;2,105;3,233;1,9;2,96;3,85;4,27;6,254601;0,3345;2,44;8,47;18,2;10,4;5,51;14,317155;1,43453;17,6241;1,27254;1,90601;3,3;2,5;3,8;3,08736;4,40495;12,5544;3,31466;6,40951;11,1278;4,9473;7,18929;3,58717;3,23198;4,79019;4,26668;2,36574;1,95783;8,9353;3,33055;1,76049;1,30583;;4,90525;3,3;3,8;2;4,87264;5,2888;12,0302;2,26253;3,73265;3,39327;8,18867;17,9069;3,63594;5,87409;7,08024;10,446;1,71974;1,44037;2,0161;7,58267;0,96397;1,72432;3,65564;0,49553;0;2,25935;0,05;5,21101;3,12674;1,3;3,38922;0,23644;2,15568;1,70912;4,98963;;2,07771;5,10816;3,24296;;3,69259;1,85022;0,9645
02.01.2019 01:00;2,15897;0,71328;1,08655;1,38142;0;0,49553;2,04142;7,23285;1,29613;1,01708;;4,06686;3,21588;3,02984;1,96404;0,46154;5,1;9,9;1,4;2,9;2,3;2;;3,4;3,2;1,6;3,5;3,9;1,4;5;5,1;3,5;;3,51;6,36;2,4;4,5;3,2;3,3;2,3;1,4;;4,2;3,2;2,23598;2,56167;1,10439;1,52907;1,96984;2,46029;3,08894;3,95289;7,38776;7,0112;6,40626;10,2797;3,3214;5,22985;5,5886;1;32,3024;28,76;7,55206;3,48674;2,352;3,733;1,7;2,86;2,95;3,87;6,774383;0,3345;2,14;8,07;16,6;10,6;5,31;12,342375;1,25926;;1,3623;1,88267;2,8;2,2;2,8;2,66694;4,28917;8,34535;2,19189;5,62146;8,35225;5,24047;4,40434;2,42066;2,47642;3,32852;3,36993;1,97995;1,4033;7,31669;1,91622;1,45654;2,49012;;4,81917;3,1;3,8;2;4,62499;4,99722;7,88341;2,30927;3,5781;2,01928;8,73784;20,512;2,79913;5,87196;4,01254;9,3824;2,14091;2,79418;2,20124;7,11848;1,34902;1,66209;2,65609;0,48915;0;2,81064;0,05;4,97365;2,8665;1,4;3,12608;0,33761;1,83671;1,79409;4,94947;;1,08808;5,05202;4,06088;;3,3258;1,58059;0,73559
02.01.2019 02:00;1,99379;0,71647;0,98584;1,36708;0;0,73977;1,89762;8,64281;1,23398;1,11799;;4,3344;2,35973;2,66353;1,45831;0,33301;4,9;5,9;1,8;2,1;3;1,5;;3,3;2,8;1,8;3,3;6,3;0,7;4,9;4,3;2,7;;2,88;6,6;3;4,6;3,2;3,2;;5,2;4,3;3,5;3;2,33901;2,22722;1,34153;1,75054;2,37247;2,62283;3,35822;;10,251;7,06856;5,24366;9,54991;2,17469;4,3429;5,1312;1;9,52199;18,0787;9,02975;1,96989;2,56;3,233;2;2,86;2,75;3,97;6,894166;0,446;2,24;7,67;15,5;10,2;4,71;11,354985;0,67504;10,11;1,02982;1,66171;2,2;2,2;2,6;2,6765;4,04274;6,82796;0,78976;4,91657;4,09593;2,7878;4,25712;2,27473;2,06573;2,08139;3,48247;2,34077;1,36089;6,53024;1,86571;1,27801;2,62003;;3,53161;2,9;3,8;4;4,23916;6,64048;6,11309;2,16906;2,88128;1,5296;7,49238;22,6795;2,53428;6,86302;2,16109;5,53654;2,35938;2,57111;2,27852;5,2734;0;1,70611;3,25518;0,80516;0;1,55934;0,05;5,43381;2,91107;1,4;2,89826;0,39535;1,54339;1,77869;5,31392;;1,45717;4,63373;3,1617;;3,95197;1,12489;0,86677
02.01.2019 03:00;1,49348;0,85987;1,23116;1,50623;0;1,11327;1,54819;8,87086;1,19866;1,36018;;3,09054;1,98104;2,27307;1,59015;0,84394;2,7;4,8;1,8;1,5;2,3;1,5;;3;1,9;2,1;3,9;6,5;0,7;4,5;3,4;3;;3,33;6,12;3,2;4,1;2,9;3;2,1;2,2;4,5;3,6;2,9;2,36364;3,69944;1,07486;1,81003;2,13825;3,05759;3,20844;4,02795;8,91311;6,68297;4,77203;8,89877;1,96394;4,36202;7,1303;1;25,5749;21,0865;7,9188;;2,69;2,933;1,8;2,96;2,95;3,97;5,713949;1,4495;2,84;6,37;15,1;10;5,01;12,342375;0,63893;9,17553;0,95547;1,55722;2,2;1,4;3;2,17576;3,01555;6,5162;0,50774;4,59348;3,96368;1,79409;2,3283;2,19193;2,20982;1,99236;2,99066;2,52639;1,71443;6,04402;1,46953;1,20784;2,11666;;3,17292;4,8;3,7;3;5,85792;3,51861;5,66005;1,87854;5,85072;1,84402;6,72705;28,4044;2,60122;6,98624;3,36034;2,70414;1,29047;1,52535;2,23396;5,97341;0;1,87205;4,04972;0,52899;0;1,72399;0,05;5,64242;2,51325;1,4;2,78981;0,31492;1,81524;1,90297;5,30739;;1,48074;4,46039;2,09205;;3,08374;0,93789;0,98574
02.01.2019 04:00;2,03681;0,74727;1,51744;1,56359;0,02178;1,20328;1,16154;8,34494;1,55428;1,63582;0,017;3,97218;2,90093;2,2622;1,3554;1,07497;3,4;5,6;1,7;1,3;2,4;1,3;;2,8;1,1;1,7;3,7;10,7;0,8;4,8;3,3;4,4;;2,97;5,64;4,7;4,1;3,1;3,1;2,2;1,3;5,3;6,2;2,7;2,81421;2,63917;1,13743;1,95555;1,96617;2,55391;3,0284;3,97218;10,3524;7,00217;4,84798;8,77608;2,15721;4,41725;5,31765;1;6,37493;5,07472;7,33563;2,58332;2,437;2,633;1,7;3,16;3,85;4,07;7,933731;0,5575;2,44;6,67;17,2;11,4;16,11;13,82346;0,87315;11,3703;1,01602;1,90191;3;1,3;3;1,69;1,36009;8,13981;1,73248;3,94382;5,80982;6,47637;2,87341;2,26412;2,19266;2,25797;3,16276;2,56996;1,36933;5,16404;1,71955;;1,41192;;3,53374;4,7;3,4;3;5,07647;3,78895;7,61613;1,7617;4,37423;1,92475;6,40201;24,3414;2,53145;6,5486;1,7994;3,30176;1,95608;1,12914;2,05306;7,27835;0;2,31293;9,42244;0,67557;0;1,38992;0,05;5,85137;3,05167;1,7;2,7104;0,2047;1,82903;2,15684;5,07116;;1,03779;4,43317;2,66565;;2,60427;0,87421;2,09842
02.01.2019 05:00;1,93962;0,50987;1,67786;1,7856;0,50562;0,93794;2,25085;6,36537;1,84195;1,48021;;6,46256;3,2743;2,90622;2,13454;1,30494;5,9;6,4;1,1;1,2;4,2;1,2;;2,6;1;1,9;3,7;8,5;0,3;5,3;2,5;5,1;;3,6;7,44;2,8;8,5;4,1;3,6;3;1,2;4,8;5;3,5;3,04911;2,33139;1,35209;2,19668;2,20252;4,29572;3,66148;3,42407;12,462;7,77918;5,27606;9,44103;3,38093;4,34768;5,63065;1;7,01438;4,79078;10,3481;2,54349;2,261;2,833;1,4;3,76;3,35;5,07;8,553514;0,3345;2,24;7,67;20,3;11,7;9,31;18,266715;1,1541;15,071;0,91351;2,24819;7,9;1,3;3,4;1,31217;1,07754;9,50499;1,07231;3,90256;6,30323;8,52062;2,91384;2,70329;2,3306;2,63049;2,34003;2,43658;2,06512;4,8638;1,72546;1,32847;2,93832;;3,71175;4,8;3,3;3;7,52662;4,12248;9,84468;1,70962;5,99465;2,59448;9,15104;17,5118;2,19071;7,72236;2,2677;3,14272;2,06974;2,72566;2,40583;8,96409;;3,37748;9,08837;0,36806;;1,28741;0,05;6,19404;3,29014;1,9;3,0027;0,35418;1,66089;3,23128;7,24332;;1,80472;4,35596;1,03354;;3,93548;5,31206;6,20072
02.01.2019 06:00;2,06284;1,71814;2,05703;3,00503;0,77064;2,34167;4,2696;4,05418;2,70509;1,31822;0,37603;20,0494;3,85268;5,04071;3,40655;1,57581;11;9,3;1,3;1,5;1,9;1,3;;3,2;1,5;1,5;3,3;17,4;0,7;7,5;2,4;7,5;;5,31;6,84;5,4;5,6;6,9;6,9;4,1;1,7;3,1;6,1;6,9;3,65304;3,40194;1,46735;2,86163;3,4092;4,42737;4,98182;4,50064;22,3805;12,4174;12,7833;14,0606;5,16075;7,00536;7,01144;1;41,9705;22,2826;11,2093;3,15374;1,899;1,833;1,1;6,06;4,85;6,97;11,173297;1,784;3,44;9,57;26,8;12,5;12,11;25,178445;1,35593;15,0233;1,45312;2,53765;10,2;1,2;5;1,6127;1,12693;10,0608;2,25138;4,46818;17,1565;9,40495;2,28804;2,11485;3,12162;2,97625;2,56579;2,40045;2,40926;5,48074;4,25374;1,53094;3,72564;;2,33083;6,4;3,2;4;13,6149;5,17196;15,0055;3,14099;10,8846;2,55942;9,35658;13,811;3,50883;8,80423;6,65588;5,97622;1,7437;2,38469;3,70376;8,72669;;3,49659;3,22438;0,37603;;;0,05;7,39973;3,24706;1,75304;3,65715;0,61704;2,79584;10,6769;10,9932;;1,94599;4,14594;2,63059;;;5,53843;0,88536
02.01.2019 07:00;3,13887;2,60085;2,79622;4,1586;2,20146;3,82931;5,29677;4,18713;4,09897;2,48348;0,18164;29,1617;5,61597;5,24689;5,4322;3,13674;17,8;9,6;1,8;1,2;2,8;1,5;;4,8;4;1,7;3,5;31,6;0,9;10,7;2,3;13,4;;4,95;11,28;3,2;8,3;8,4;10,7;5,5;2,1;5,5;7,2;7,8;4,93683;2,70056;1,22065;4,14957;4,43743;4,53956;12,2256;6,43547;43,9553;19,743;23,6493;24,3084;9,23692;11,0291;10,1872;1;60,2471;53,8839;8,10444;4,3583;1,855;2,133;1,1;8,06;6,75;13,67;12,193079;2,7875;4,34;13,47;43,9;13,9;18,41;31,59648;2,63856;16,9166;1,85358;2,65768;14,2;1,8;5,8;2,13672;1,22572;12,6723;4,53568;5,46413;38,1221;12,0442;7,02926;3,04988;4,70747;5,83395;3,34695;3,01563;4,61362;7,37833;4,74767;1,89488;6,49292;;3,70272;10,6;3,1;6;17,5007;5,53949;21,4973;4,07946;6,01271;2,60244;11,2792;14,1913;3,47051;13,9709;7,43874;9,63627;1,64963;3,78204;4,55582;8,34482;2,78302;2,56618;5,13478;0,54864;3,8718;4,76035;0,05;9,40469;4,07909;4,25859;4,48379;0,9806;5,45841;16,0773;17,529;;3,64608;4,24483;6,50824;;6,74569;6,67235;0,3909
