Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
01.01.2020 14:00;7,39413;4,33599;4,38592;9,927;4,55944;8,40749;6,85611;20,6076;6,08016;9,7512;12,2;8,3;;3,5;10;2,2;2,7;2,2;9,565;2,1;9,6;4,046592;8,9;3,7;;5,7;5,7;5,4;5,3;6,6;10,6;6,2;4,5;2,1;6,4;11,4;13,7;3,01406;4,28787;4,04122;;4,29988;3,41587;6,72865;3,98227;35,9254;14,3076;13,2512;20,1164;6,81797;7,52903;8,98575;1,3;7,64163;14,6559;10,9843;9,03792;6,9;1,1;1,8;5,17;4,79;9,6;3,99;5,21;6,54;11,72;7,66;17,5;5,906471;5,32439;;10,1979;;5,3;2,2;;7,7;3,62157;2,85685;3,39867;0,69379;10,631;18,2129;3,7099;;6,51606;7,90061;3,67158;;2,14279;5,19189;1,36865;5,32639;3,13201;1,8;7,4;4,7;2;0,8;0,215;20,9219;15,279;4,32696;5,99347;6,61013;8,69004;22,0788;6,39352;8,79517;7,17584;9,15423;7,4693;5,72917;2,22371;1,74204;12,6447;3,97324;8,40654;3,80345;7,44565;4,47089;5,40352;1,95;4,18061;5,1119;6,17895;5,42749;;4,91944;4,0391;8,2168;6,07804;11,1794;7,60774;;2,76018;1,7826;9,32206;7,46105
01.01.2020 15:00;6,79982;6,32341;5,45345;5,55014;5,73517;3,67848;9,16114;22,4394;9,01349;10,5925;15,1;9,3;;3;15,5;3,239775;2,2;2,2;8,9911;1,4;9,7;3,839775;8,5;3,5;;6,8;6,2;5,6;4,8;6,5;11,6;6,7;5,7;2,9;8,2;12,2;12,9;3,39699;2,82461;8,18368;;3,65192;4,01687;8,28002;4,78584;35,5048;14,7963;14,2226;18,6452;7,91101;8,11856;8,79328;1,6;13,1604;30,5085;13,7312;17,3838;6,7;1,1;2,1;6,47;5,29;9,5;3,79;5,41;7,24;13,52;7,26;19,3;7,506642;8,11378;;8,18703;;7,6;2,2;;8,4;4,83753;3,48196;5,5562;1,10912;13,1318;17,7816;3,87112;;7,45477;7,67899;4,18142;;2,09899;5,15704;1,63764;6,53913;3,46359;2,3;7,7;3,9;3;1,1;0,195;23,9091;23,2664;4,84533;8,16538;6,49434;8,97631;46,0419;10,9712;11,4448;10,5691;10,097;8,85302;9,91555;5,13027;1,66132;15,2344;5,22401;8,74653;3,53599;7,63632;4,1108;5,05572;1,97;3,96541;5,25265;5,25511;4,73809;;5,50078;3,57013;7,54072;4,98766;14,1185;8,13367;;4,55481;2,60061;11,0401;6,76901
01.01.2020 16:00;12,5942;11,0439;10,0396;5,94843;8,03995;2,979;20,5508;25,0244;13,794;11,2303;13,7;7,6;;3,6;9,9;1,693184;2,9;3,2;10,7128;1;7,3;3,646592;9;3,4;;9,2;6,8;11,5;4,2;6,7;9,3;6,1;5,3;2,8;9,2;14,2;13;6,44503;1,3939;12,1391;;4,16763;5,74354;12,0695;5,18099;44,9219;20,1902;17,0699;22,5239;11,8237;8,91895;12,7082;2,2;47,9121;52,0271;17,3125;24,1884;6,2;1,4;2,4;7,27;7,29;11,4;3,29;4,51;7,64;15,62;7,36;11,6;10,606812;16,4698;;13,0879;;9,9;2,2;;7;5,8859;3,62112;6,82318;4,89859;15,2594;29,5712;9,8974;;6,60656;8,46686;4,58157;;2,29932;7,67618;1,73194;6,81506;3,99073;3,7;11,6;4,7;2;3;0,275;47,1716;25,5974;7,85513;12,9962;6,30421;19,3293;69,9654;14,7569;15,4417;19,018;16,8293;23,1612;30,4288;12,322;2,97104;40,9965;5,80823;7,45627;4,04668;8,05218;4,33525;6,24379;1,92;4,11043;5,62646;5,01077;6,84187;;5,31931;3,713;8,72964;5,41999;12,317;6,96216;;5,14912;2,43258;16,533;4,69608
01.01.2020 17:00;40,2731;14,8738;24,5081;27,6388;13,0128;3,46338;18,8302;36,4008;19,6469;14,9603;17,4;10,3;;3,6;6,2;1,8;2,9;3,3;11,478;1,4;7,8;4,646592;8,4;13;;8,9;6,8;21;3,3;6;10,2;7,5;5,3;6,2;7,5;14,5;10,8;17,9117;1,39512;16,5563;;11,6255;19,3765;18,8051;5,44389;55,4283;27,1223;21,3252;24,4189;58,3733;12,0222;12,3891;4;32,2783;25,1562;23,9969;40,5875;5,5;1,6;2,2;5,97;7,19;10;3,39;5,01;8,24;15,22;8,86;14,8;9,006982;23,969;;22,597;;7,6;1,9;;9,2;6,32358;4,98926;8,20035;20,5807;17,8102;36,8161;15,2933;;7,12513;7,19141;4,12475;;2,18955;10,465;1,18086;5,38595;3,24838;4,4;10,3;4,6;3;6;0,51;58,3627;26,5455;11,1879;22,929;9,33864;20,0563;72,9741;12,693;23,2947;28,0952;24,0864;35,181;34,8157;19,9769;3,55791;49,3307;6,07644;9,03739;3,51185;7,21621;4,68198;7,02288;1,78;5,13699;5,28955;4,56471;8,96702;;5,93304;5,68395;9,75906;;11,6744;6,98769;;6,12477;3,2702;22,3114;3,8479
01.01.2020 18:00;38,6282;42,8761;24,2787;23,345;16,6541;6,40095;20,1719;45,7085;12,3239;16,2945;14,4;12,8;;3,8;8,7;1,746592;2,6;2,4;8,0346;1;7,2;4,293184;7,2;6;;7,3;6;19,1;3,2;5,3;10,4;7,3;5,4;4;7,7;12,9;11,3;25,8194;1,53141;13,7526;;22,9838;20,9004;15,2328;6,33084;54,5573;32,3016;22,7331;27,3613;69,2785;12,1332;12,615;5,9;68,5781;36,5392;24,1927;54,4665;5,1;2,3;2;5,97;6,79;10,4;3,39;5,01;9,54;12,52;7,46;11,3;6,307153;30,127;;40,3207;;6,4;3,7;;10,3;4,89526;6,91985;8,93361;6,25718;55,4685;32,4142;14,5261;;6,29743;5,23186;4,7849;;2,10536;7,05123;1,88828;4,98323;3,2792;4,2;12,3;4,8;2;7,2;0,14;53,3346;33,4611;16,4868;26,3159;9,4232;30,1767;71,0239;17,6026;24,0618;28,4314;30,7115;16,3194;32,3012;26,6419;4,89791;43,7694;5,73441;9,53398;3,23202;7,39732;4,59199;6,06848;1,8;6,33416;4,61701;4,20216;9,9531;;7,60429;13,171;16,5514;10,0391;15,6237;8,48841;;6,11043;3,17731;22,0268;4,27704
01.01.2020 19:00;36,5606;46,3368;21,1398;31,7516;16,3448;6,7159;28,6906;60,5054;18,4731;25,3356;12,5;8,4;;3,2;9,2;1,746592;3,1;2,6;7,652;0;6,6;4,146592;8,5;5,7;;9;6,5;14,3;3,3;4,9;9,1;7,2;5,2;4,1;7,6;16,6;11,1;29,6822;1,58016;8,17699;;14,5402;14,205;10,3535;8,2864;48,4596;32,1604;22,7709;25,5927;57,1526;16,8888;11,876;7,5;18,6925;25,3862;22,798;71,2836;4,8;3,2;2;6,87;5,69;8,9;3,09;4,01;8,54;15,42;9,56;15;6,007323;25,3998;;51,2936;;5,7;3,5;;8,4;6,02837;7,24754;10,2124;5,21885;47,986;27,5838;18,7057;;6,2045;8,98411;4,17727;;2,15212;7,48757;1,47867;5,57779;3,39983;4,7;10,2;5,4;7;3,7;0,015;28,8394;31,4142;19,3654;39,9524;12,6962;28,5775;53,9966;24,2957;33,8623;36,6026;18,565;13,7227;31,1314;34,3027;5,81407;33,7293;4,42522;9,24399;3,10287;8,31295;4,44434;4,69715;1,71;7,38437;6,07636;4,89362;12,58;;6,73719;18,0711;22,1775;14,6974;14,5588;8,73992;;4,90906;2,8748;23,5346;4,76141
01.01.2020 20:00;34,4388;41,5409;26,1652;28,7566;22,5896;8,83716;28,9578;68,7789;22,6036;22,0491;14,8;11,1;;3,5;8,7;2;3,2;3,1;8,0346;;7,1;4,686367;7,7;4,9;;7,7;7,1;11,7;3,4;5,3;8;9;5,7;4,9;7,4;16;11,7;38,9607;2,19198;12,8853;;9,02464;35,7975;10,533;10,8145;46,7977;35,0066;28,287;28,0459;55,5094;27,8881;13,2944;11,4;21,8069;37,6319;23,4851;42,7741;5,5;3,1;2,7;10,07;5,49;9,3;2,59;3,51;8,64;20,42;8,36;15,2;5,907493;18,241;;50,6728;;6;4,9;;7,9;11,168;7,84132;12,0045;8,79907;33,419;27,3347;16,3314;;7,80264;8,39;4,5488;;2,71433;8,46139;1,49611;4,80023;;6,5;11,5;7,5;7;4,4;0,495;29,1588;26,6081;15,6768;34,6236;11,8678;28,4734;46,4254;23,8379;29,7623;37,8512;16,7199;9,98822;30,8614;36,5635;5,21392;28,3576;3,39805;8,88921;3,0457;9,18982;3,46178;7,63154;1,9;7,9025;8,34991;5,83031;20,1755;;5,01257;26,2709;23,4542;16,0571;13,4382;9,37126;;5,84222;3,52432;25,9522;7,59861
01.01.2020 21:00;33,8918;38,2506;35,3396;41,8345;21,5909;11,2436;29,6907;62,6785;31,5746;28,7039;13,8;10,4;;2,9;6,9;2,1;4,7;2,8;6,5042;0,3;13,7;4,946592;8;5,9;;6,6;7,2;10,4;4,4;5,2;9,3;6,6;4,7;5,1;8,2;14,9;11,3;33,0155;3,27457;9,46812;;8,79467;21,5598;10,7152;12,6898;46,1265;40,1323;27,4956;29,3635;49,4763;25,633;16,4245;11,7;25,8646;45,8991;20,9436;46,0617;6,9;2;2,3;8,97;5,79;8,5;2,79;4,01;6,84;20,12;8,56;13,9;6,307663;24,309;;48,5924;;5,3;4,8;;8,4;21,4243;5,81301;15,7905;3,84487;15,2633;26,8572;21,6938;;6,84737;8,89502;4,32629;;2,63728;9,19745;1,29181;2,48634;5,13428;7,5;10,3;6,5;5;8,3;1,62;36,1255;40,3273;16,8618;30,5054;9,3355;31,839;50,4216;18,6261;31,7915;42,1182;14,2651;8,72362;28,7084;38,5293;6,26499;25,625;2,80214;8,13981;2,86111;6,87152;2,77346;4,99616;2,08;7,36055;10,0726;5,67689;20,1851;;5,2204;12,5066;26,8934;16,9079;12,718;8,76951;;7,29375;3,05984;24,6414;7,15778
01.01.2020 22:00;30,4752;30,9261;40,3135;25,256;23,5611;16,5606;25,061;66,3368;40,8209;25,7361;10,4;11;;2,8;7,2;2,7;5,8;2,9;7,652;2,1;14;5,086367;9,1;6,2;;5,7;7,6;11,3;5;6;7,8;6;4,5;4,9;7,1;14,8;8,5;25,1093;2,8629;9,04695;;11,1799;12,417;10,4693;10,6387;49,7194;41,6784;27,4266;25,9697;43,711;27,2418;16,8576;6,9;29,1941;58,3157;18,191;58,3372;6,7;1,4;2,1;7,57;4,99;8,8;3,29;4,31;6,44;15,82;8,76;12,1;5,207834;24,9054;;43,4276;;4,5;5,3;;8,3;18,6388;4,61695;13,0443;3,83425;13,9773;24,4439;15,3685;;8,16156;10,0119;4,44114;;2,45183;9,99651;1,18563;2,30205;4,9568;8;9,8;9;7;12,6;1,25;28,5777;29,2924;18,6293;32,0555;10,5998;28,2089;46,877;18,0073;27,8824;40,6029;12,1534;10,7379;25,3371;39,6224;7,33199;24,2017;2,70495;5,55489;3,13176;4,88463;3,05495;5,02325;1,76;9,83818;10,0333;5,82859;10,957;;4,28086;7,37288;14,6779;13,1907;10,4586;7,16497;;5,15125;2,3486;22,7049;6,24056
01.01.2020 23:00;26,2024;24,9096;35,9297;27,1975;28,4558;14,8711;33,6061;67,9764;30,532;36,3662;8,2;12,6;;3,3;7,8;2,693184;4,4;4,5;8,0346;1,9;10,2;5,293184;9,5;6,8;;6,1;6,7;9,9;5,9;7,7;7,2;5,4;4,7;5,3;7,2;11,1;9;25,3898;2,23874;10,5128;;15,0198;13,8344;15,6572;9,41023;44,155;46,9789;26,3686;25,8327;37,2698;26,8009;19,285;4;28,9466;39,7711;14,7756;56,6271;6;2;1,7;6,37;4,79;8,7;2,89;3,81;5,64;14,42;9,36;11,4;4,408004;26,8392;;42,455;;4,6;5,5;;8,4;20,4736;3,74087;12,1769;4,16407;14,3765;26,5364;12,7749;;7,12357;7,0067;4,39884;;2,39019;10,5897;1,44826;1,98474;4,68738;9,5;10,1;10,8;10;14,7;1,41;21,4429;29,2541;18,6348;42,1348;11,371;30,993;45,9146;16,5085;27,6716;36,3923;11,5039;5,81007;26,9468;40,5797;7,50726;22,2695;2,48826;5,26809;2,70537;3,83144;2,44046;5,19214;1,75;8,51096;6,82152;6,9726;8,32029;;4,28159;6,21825;11,3517;9,3688;10,4586;6,45577;;13,0749;1,88547;41,3502;10,9791
02.01.2020 00:00;26,0632;23,5346;29,8458;26,929;25,0894;13,8732;31,6388;49,277;29,2887;39,9889;7,2;10,6;;3,1;7,8;3,046592;4,4;3,9;5,739;2,7;8;5,186367;7,1;7,1;;5,4;6,2;5,7;5,5;5,9;6,2;5,3;4,7;5,4;6,7;12,8;7,5;23,1161;2,88632;6,73661;;21,5764;12,5814;14,5742;8,68951;31,4359;34,2561;32,2321;21,8956;33,5786;21,2965;22,3249;2,5;38,547;42,4409;15,4941;53,2896;5,5;1,5;1,9;6,87;4,59;9,3;3,99;4,11;5,24;8,82;7,76;12,6;5,308174;25,2363;;38,2998;;3,8;4,9;;4,4;22,073;2,70611;11,5684;4,19381;14,6721;16,5446;9,55187;;5,89276;5,9508;4,22371;;2,61656;6,38349;1,69698;2,2467;4,55028;10,6;8,8;10,2;7;15,9;2,62;17,7478;26,9826;16,5037;39,9273;9,51327;32,2214;46,7617;13,0855;30,6572;32,8721;11,1337;4,7209;20,0227;37,2611;6,79928;21,024;2,3098;3,35928;2,46786;3,19782;1,93378;4,18834;1,66;6,63452;6,36716;6,85;7,22091;;5,72142;5,23782;10,0898;8,62896;6,9719;5,31913;;27,3023;1,22788;28,5717;13,7473
02.01.2020 01:00;23,2303;21,3098;26,4079;33,0446;24,0013;10,4039;19,274;44,5841;28,116;38,6532;7,9;10,9;;3;5,8;4,4;4,8;2;5,5477;1,6;6,6;4,693184;6,4;5,9;;5,1;6,1;5,4;6,5;5,8;5,1;5,1;4,7;5,3;7,8;10,3;7,2;11,0907;2,50477;5,88312;;24,7317;13,3582;16,661;9,54141;26,9268;27,0772;25,9517;17,6998;31,4833;16,2058;17,3441;1;20,2906;18,1196;16,6246;44,975;6,2;2;1,5;6,57;4,59;9,6;3,99;4,31;5,24;5,62;6,26;14,1;4,908345;22,9498;;33,3678;;3,1;3,7;;3,3;23,2049;2,96041;10,2082;4,79928;10,0908;18,8635;10,6266;;5,12401;6,76192;4,50457;;3,05549;;2,3511;1,06099;4,28746;8,9;8,3;10,3;8;15,8;3,455;15,0871;21,7671;16,6009;39,6585;10,1148;33,5614;32,9602;15,8298;26,3005;42,0157;14,9375;3,78098;21,0334;34,584;7,17584;18,3796;2,10851;2,60669;2,20987;2,83242;1,79197;4,05185;1,73;6,44625;6,57698;6,66982;6,59316;;9,25838;3,91907;9,35253;8,0713;4,78266;4,70205;;10,9839;1,76508;13,1896;14,8196
02.01.2020 02:00;21,6109;18,4869;25,521;28,3538;20,8941;9,81759;11,8401;37,2952;27,4229;36,5489;5,1;7,9;;3,7;5,3;1;3,5;1,2;5,1651;1,2;7,4;5,7;5,7;5,3;;4,6;5,9;6,6;6,3;5,1;4,8;4,5;3,9;5,1;7,6;9,9;6,4;11,4847;3,39598;5,88312;;18,4524;12,9831;13,2162;10,2122;21,374;25,1616;16,7736;17,6658;26,312;14,9821;13,2936;1;45,1508;24,3395;17,0181;29,7119;5,8;2,1;1,5;6,07;4,49;9,1;3,29;3,31;5,54;5,02;6,86;12,7;4,808515;20,5891;;29,2494;;3,3;3,7;;4,3;16,8465;2,80639;9,6187;4,97507;8,889;12,778;9,18608;;5,13908;6,03508;5,32418;;2,84771;2,52881;2,0914;0,96779;4,39405;7,4;7,8;9,9;5;16,6;4,08;15,4931;19,3659;14,0577;32,7713;9,07394;30,3939;34,5647;17,4433;23,6467;44,5703;13,589;2,70747;19,8055;29,8487;6,37493;14,9497;1,99273;2,7315;2,21814;2,73416;1,83924;2,53606;1,65;7,83687;9,34797;5,83402;10,8924;;6,34243;7,25073;10,998;8,17114;4,66634;7,68654;;5,34298;1,90819;9,13139;14,5285
02.01.2020 03:00;20,3012;18,9564;24,6239;17,1059;17,3724;11,5001;21,7129;38,3728;21,2954;35,4086;7,8;8;;5,5;6;1,8;3,4;6,4;5,1651;1,5;6;4,646592;5;4,7;;3,9;5,5;5,9;5;6,2;4,6;4,4;4,5;4,9;7;9,9;5,7;8,36659;3,76128;6,83859;;17,7354;17,6944;15,2631;8,68632;20,3182;;16,4501;16,8267;20,169;16,4862;14,3934;1;59,8249;66,5607;20,786;23,345;5,5;2;1,6;6,47;4,99;9,1;2,39;3,01;5,24;3,82;7,06;9,5;4,308685;19,5895;;24,1984;;2,9;3,5;;3,9;16,3222;1,76701;10,6552;5,31605;8,9967;11,2335;8,24699;;5,17687;5,87869;8,23846;;2,92583;2,79363;1,59972;0,66983;4,54709;7,2;8;9,9;6;15,5;2,015;13,4479;20,5577;14,5323;31,4237;11,3007;35,1415;30,2425;14,5524;23,214;31,5299;11,0306;3,20729;19,9871;32,2658;6,65429;16,9621;3,10859;8,40218;2,10729;2,82976;2,70601;2,73735;1,7;7,71555;14,8842;5,2879;9,87947;;4,48115;9,20309;12,5784;10,4055;6,29685;8,28915;;5,94579;2,50466;7,73616;12,8141
02.01.2020 04:00;18,5172;18,2336;22,1399;22,6995;16,7172;16,0098;17,5484;36,0871;17,9186;35,4235;6,7;7,4;;6,4;5,7;3;4,3;6,3;5,5477;2,3;8;4,346592;5,3;6,6;;4,3;5,6;6,5;10,1;8;5,7;5,3;8,2;8;6,5;13;7,3;7,92099;3,45249;7,18859;;19,7552;21,7999;16,3205;7,09511;19,0164;19,9002;19,4429;15,9864;21,4058;16,5935;13,7816;1;78,0855;57,8113;23,7199;16,867;6,4;2;2,2;5,27;5,19;8,6;2,59;3,41;5,54;4,12;7,76;6,9;4,408856;19,4902;;21,4863;;2,8;4,4;;6,1;15,3892;1,86367;12,3953;4,98791;9,4223;12,3489;10,8553;;5,83432;5,69683;6,2685;;2,5884;2,78782;1,55431;0,59539;3,70219;7,1;11,1;11,6;7;12;0,69;11,9978;21,7442;15,2992;34,4908;6,75162;28,4059;43,6403;14,9757;23,8857;23,6966;23,0072;2,07671;20,0112;34,1031;8,47282;17,1963;2,94182;6,10247;2,14219;2,57801;3,1548;3,53189;1,65;6,84691;14,7137;5,33076;12,7621;;6,0421;8,73412;14,6731;11,3068;;6,15711;;6,84124;3,11728;7,84079;12,2145
02.01.2020 05:00;16,9329;18,6675;21,1318;23,5247;18,906;19,4923;19,948;33,5628;19,5385;29,7921;10,2;9,1;;6,2;5;6,1;4,2;3,3;14,9214;4,7;13,2;4,839775;6,8;8,3;;4,4;5,9;5,5;5,1;8,7;10;14,3;13,1;10,4;9,1;13,9;10,8;12,3473;6,20938;7,36386;;21,4739;19,9343;13,3803;7,11689;26,2486;33,9422;19,3755;17,2096;29,5067;16,6381;17,9195;1;47,2269;65,1291;21,5692;20,7765;7,1;2,2;2,9;6,97;4,99;8,5;3,39;4,71;6,24;8,72;8,56;10,7;3,809026;20,1211;;21,2842;;3,6;3,9;;4,8;12,083;1,74576;11,2863;5,91692;8,9207;17,4481;11,4887;;7,70104;9,34993;11,4368;;2,96993;5,17316;1,4197;0,63622;3,82122;6,9;12;11,9;9;13,3;0,125;14,1198;19,1981;15,4484;35,3523;6,88213;31,5475;47,3151;12,9596;26,72;27,1594;19,9422;4,26065;18,2035;30,0034;8,90248;19,8073;3,5919;6,51567;2,28768;2,72035;4,03007;2,94979;1,55;9,28727;10,9259;6,31679;12,6001;;7,4472;10,0975;14,9639;11,9665;9,05723;6,96217;;9,89832;3,35707;9,49361;10,7731
02.01.2020 06:00;19,0802;21,1573;23,5851;16,1562;21,0658;18,967;43,1315;48,3959;21,946;36,5967;23,4;21,1;;7,9;6,8;2,4;5,4;15,7;16,0692;6,9;26,8;4,6;6,9;8;;5,3;7,2;6,9;10,2;9,8;17,8;25,1;17,7;8,5;14,4;21,8;14;21,2291;8,02732;9,03314;;31,2219;23,9557;19,9236;8,99862;61,5462;43,1576;34,8483;21,4925;31,5297;24,0662;19,8315;1;30,3047;66,1968;20,9799;33,8387;8,3;3,5;2,5;9,07;5,89;10,6;8,89;9,51;14,54;11,42;9,56;17,4;5,709196;21,7076;;24,8863;;4,4;3,4;;7,1;12,2627;3,01618;12,0628;7,12857;6,9089;28,7581;13,7457;;11,1589;20,0745;9,20867;;3,73991;9,97823;1,36382;1,32877;4,91375;7,4;17,4;12,1;13;11,3;0,005;22,4418;34,759;16,9217;41,0555;10,5219;44,0004;55,5622;16,602;30,292;40,3257;16,4081;5,36587;23,3375;34,4835;7,15778;31,9272;3,74008;12,1905;2,77182;3,40973;7,61401;5,40246;2,25;11,5236;19,8174;10,7278;18,2315;;10,0707;19,2342;21,5363;15,9386;14,8392;9,44285;;10,0911;5,35025;16,0757;10,3434
02.01.2020 07:00;19,479;22,3099;33,3368;21,4474;24,9535;15,1053;51,154;75,5792;17,8427;38,3961;29,9;23,1;;8,8;13,8;4,6;11,4;23,5;30,608;7,7;29;4,693184;8,2;7,9;;9,1;8,2;11,1;21,1;8,9;23,5;18,9;17,6;8,9;19,6;35,1;19,4;26,045;8,25756;10,3057;;37,3769;24,2257;36,7492;11,6159;68,4889;54,7188;46,4574;29,6604;35,9173;22,09;23,8034;1;39,6809;68,332;24,5381;57,5146;9,2;4,4;2,4;13,47;9,79;14,6;12,79;15,71;30,04;18,12;15,96;22;12,609366;30,9249;;31,3469;;6,9;4,2;;10,3;14,0261;5,3143;17,9236;13,0999;16,3461;46,7548;19,0677;;13,6837;28,6181;11,4399;;7,18119;14,0217;2,44176;3,26018;6,14764;13,8;33,9;14,3;29;23,8;0;29,172;41,0719;22,2137;46,4722;13,1654;47,1674;68,0709;29,0677;39,7375;44,3781;18,1194;15,7339;26,2339;37,4159;7,09777;36,3195;4,4608;12,9336;4,64886;5,41893;11,4986;7,45892;3,76;13,5349;24,2414;14,7991;29,9754;;16,1833;24,5134;32,6597;25,2357;36,0879;27,5721;;10,2228;16,155;20,7826;11,3467
02.01.2020 08:00;20,9359;26,5901;35,1006;34,0841;30,5858;16,1012;57,0148;71,316;29,4506;41,4495;42,9;27;;14,1;13,9;4,3;9,9;28,2;33,0949;13;30,3;7,9;12,3;7,1;;15,3;16,9;16,2;15,7;14,6;29,6;24,6;18,9;10,2;21,6;41,7;20,9;34,0703;9,22949;10,3678;;41,7862;47,3231;33,5391;11,9298;70,7652;58,2034;52,5518;42,0135;40,8539;26,153;33,2157;3,1;49,874;57,0285;30,3659;72,1865;9,2;5,3;3,4;19,77;14,79;17;15,19;16,41;38,64;33,82;18,76;24,9;20,809537;32,718;;38,0955;;13,6;4,4;;13;15,2244;8,09466;28;12,522;44,7519;55,7513;41,3662;;21,9346;31,1855;20,7294;;8,837;23,8025;4,2043;5,71112;9,78712;15,9;46,3;12,9;46;23,9;0;32,148;58,6681;44,8741;49,0974;21,858;57,1906;74,1102;32,8906;33,871;47,2715;34,2896;25,2251;29,0811;37,8228;10,4655;40,0819;6,74511;36,2436;6,41771;8,9216;10,8522;12,8306;4,86;18,0335;39,3398;17,7581;38,5931;;20,1345;38,8726;43,7959;35,9716;50,6744;47,7449;;11,2649;35,1471;35,6588;12,4461
02.01.2020 09:00;23,7842;23,0263;41,9673;35,9274;31,2344;16,7518;;70,9096;22,3677;49,0194;36,3;30,3;;15,7;16,6;7,1;8,6;24,4;28,1211;17,2;28,9;13,504571;15,3;6,7;;19,7;17;19,2;10,8;19,4;34,8;37,5;27;11,6;21,2;42,2;24,2;29,1888;10,3689;11,2861;;40,9954;40,6089;41,6354;13,6984;74,4618;59,8966;55,3513;45,9236;55,906;30,0465;35,5732;5,4;53,7553;64,0553;29,5654;78,3421;9,9;6,5;4,9;15,27;21,89;16,6;15,89;20,21;30,04;29,92;19,16;26,2;19,609707;35,2323;;30,3643;;14,4;6,2;;14,1;18,9712;11,574;25,3524;;22,0262;57,3712;48,3745;;21,8318;28,5263;22,1957;;8,22059;35,6226;5,2651;5,70518;10,5258;17,2;47,2;11,9;43;34,6;0;29,1781;50,246;48,206;52,2036;19,6311;74,0055;78,2203;32,2298;32,9498;49,7612;47,047;17,1236;30,8673;39,3453;16,2645;41,127;10,5415;30,3827;7,5627;10,2637;14,8616;11,7657;4,78;25,9694;49,8858;16,1895;42,6931;;22,6651;42,3545;48,9454;40,0357;33,0165;33,8053;;14,4441;18,2192;44,479;13,504
02.01.2020 10:00;23,9266;22,1617;44,9819;37,8174;34,0791;18,2617;47,8674;78,0287;20,5312;53,6667;30,9;25,9;;14,5;19,7;8,9;8,4;22,5;30,2254;13;24,8;10,026143;16,1;8,8;;19;16,5;20;11,3;19;34,7;48,1;26,6;11,1;21;46,4;23,7;31,1444;9,89295;16,4968;;42,3795;16,0126;37,497;12,8067;76,8773;54,501;57,0753;47,9997;54,6766;27,4781;43,5494;5,2;69,8289;73,321;30,6989;79,4064;10,6;8;5,5;13,17;15,59;14,1;12,49;13,61;21,94;25,62;16,26;25,9;20,609877;32,0313;;25,2846;;13,9;7,1;;13,1;38,4925;4,71042;33,2298;11,1087;13,0712;60,3671;42,3004;;21,4391;;18,6292;;7,56645;16,7085;5,42841;6,96778;11,0602;16,5;49,3;13,4;48;34,9;0;31,7512;51,1432;45,8097;47,7391;19,8826;55,7701;91,339;29,0948;28,0298;53,2482;24,9575;;26,385;36,2677;15,6971;43,7723;13,0898;17,8517;6,51515;12,5401;14,8005;12,7557;5,14;22,239;33,3028;16,8285;42,3219;;21,6579;36,8841;41,981;40,1679;34,9731;28,6751;;15,9312;14,7143;45,6926;11,8762
02.01.2020 11:00;22,2905;20,9768;53,8494;38,7607;33,3443;16,9244;72,0181;;19,0063;49,7242;39,6;25,4;;14,5;24,1;8,6;6,6;18,5;27,3559;9,4;33;8,486367;13,1;11,5;;16,5;15,5;20,9;19,9;15,9;37,7;39,4;27,4;11,2;20,5;39,7;28,4;31,6144;8,87519;11,7344;;20,4557;17,81;44,9756;14,0962;80,013;59,1036;54,5398;44,462;61,0184;29,4899;46,1789;4,7;65,8291;60,853;36,1606;87,8022;14;8,9;5,5;12,97;16,89;16,5;12,79;16,61;;26,02;17,06;25,5;21,710048;26,1663;;22,5819;;12,8;8,1;;12,3;42,752;5,38281;23,2152;12,2549;12,3396;51,5236;24,3178;;21,8676;28,3681;13,6808;;6,61526;17,3081;4,2129;7,3312;9,48476;15,9;46,2;13,3;40;27,4;0;34,6907;48,8702;47,5987;52,3699;30,0114;58,574;100,758;28,6078;28,0994;53,9157;25,1162;22,1903;26,2895;32,7542;17,4964;41,6524;12,0419;14,4055;7,60526;11,7758;9,87442;13,7993;6,02;17,8693;39,7046;15,3944;41,1074;13,5834;20,4765;33,4701;40,9024;31,9835;33,6256;23,4042;;15,9371;11,3402;39,5683;12,1269
